id,poet_jp,poet_kana,waka_original,waka_kana,kami_no_ku,shimo_no_ku,source_anthology,source_book,source_number,theme,season,notes,normalized_original,normalized_kana,embedding_text
1,天智天皇,てんちてんわう,秋の田の かりほの庵の とまをあらみ わが衣手は 露にぬれつつ,あきのたの かりほのいほの とまをあらみ わがころもでは つゆにぬれつつ,秋の田の かりほの庵の とまをあらみ,わが衣手は 露にぬれつつ,後撰集,秋中,302,秋,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,秋の田のかりほの庵のとまをあらみわが衣手は露にぬれつつ,あきのたのかりほのいほのとまをあらみわがころもではつゆにぬれつつ,"秋の田のかりほの庵のとまをあらみわが衣手は露にぬれつつ
theme: 秋
season: 秋"
2,持統天皇,ぢとうてんわう,春過ぎて 夏来にけらし 白妙の 衣ほすてふ 天の香具山,はるすぎて なつきにけらし しろたへの ころもほすてふ あまのかぐやま,春過ぎて 夏来にけらし 白妙の,衣ほすてふ 天の香具山,新古今集,夏,175,夏,夏,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,春過ぎて夏来にけらし白妙の衣ほすてふ天の香具山,はるすぎてなつきにけらししろたへのころもほすてふあまのかぐやま,"春過ぎて夏来にけらし白妙の衣ほすてふ天の香具山
theme: 夏
season: 夏"
3,柿本人麿,かきのもとのひとまろ,足引きの 山鳥の尾の しだり尾の ながながし夜を ひとりかもねむ,あしびきの やまどりのをの しだりをの ながながしよを ひとりかもねむ,足引きの 山鳥の尾の しだり尾の,ながながし夜を ひとりかもねむ,拾遺集,恋三,778,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,足引きの山鳥の尾のしだり尾のながながし夜をひとりかもねむ,あしびきのやまどりのをのしだりをのながながしよをひとりかもねむ,"足引きの山鳥の尾のしだり尾のながながし夜をひとりかもねむ
theme: 恋"
4,山部赤人,やまべのあかひと,田子の浦に 打出でてみれば 白妙の ふじの高嶺に 雪は降りつつ,たごのうらに うちいでてみれば しろたへの ふじのたかねに ゆきはふりつつ,田子の浦に 打出でてみれば 白妙の,ふじの高嶺に 雪は降りつつ,新古今集,冬,675,冬,冬,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,田子の浦に打出でてみれば白妙のふじの高嶺に雪は降りつつ,たごのうらにうちいでてみればしろたへのふじのたかねにゆきはふりつつ,"田子の浦に打出でてみれば白妙のふじの高嶺に雪は降りつつ
theme: 冬
season: 冬"
5,猿丸太夫,さるまるだいふ,奥山に 紅葉ふみ分け なく鹿の 聲きく時ぞ 秋は悲しき,おくやまに もみぢふみわけ なくしかの こゑきくときぞ あきはかなしき,奥山に 紅葉ふみ分け なく鹿の,聲きく時ぞ 秋は悲しき,古今集,秋上,215,秋,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,奥山に紅葉ふみ分けなく鹿の聲きく時ぞ秋は悲しき,おくやまにもみぢふみわけなくしかのこゑきくときぞあきはかなしき,"奥山に紅葉ふみ分けなく鹿の聲きく時ぞ秋は悲しき
theme: 秋
season: 秋"
6,中納言家持,ちゆうなごんやかもち,かさゝぎの 渡せる橋に おく霜の しろきを見れば 夜ぞふけにける,かさゝぎの わたせるはしに おくしもの しろきをみれば よぞふけにける,かさゝぎの 渡せる橋に おく霜の,しろきを見れば 夜ぞふけにける,新古今集,冬,620,冬,冬,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,かさゝぎの渡せる橋におく霜のしろきを見れば夜ぞふけにける,かさゝぎのわたせるはしにおくしものしろきをみればよぞふけにける,"かさゝぎの渡せる橋におく霜のしろきを見れば夜ぞふけにける
theme: 冬
season: 冬"
7,阿倍仲麻呂,あべのなかまろ,天の原 ふりさけ見れば 春日なる みかさの山に 出でし月かも,あまのはら ふりさけみれば かすがなる みかさのやまに いでしつきかも,天の原 ふりさけ見れば 春日なる,みかさの山に 出でし月かも,古今集,羇旅,406,羇旅,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,天の原ふりさけ見れば春日なるみかさの山に出でし月かも,あまのはらふりさけみればかすがなるみかさのやまにいでしつきかも,"天の原ふりさけ見れば春日なるみかさの山に出でし月かも
theme: 羇旅"
8,喜撰法師,きせんほふし,わが庵は 都のたつみ しかぞ住む 世をうぢ山と 人はいふなり,わがいほは みやこのたつみ しかぞすむ よをうぢやまと ひとはいふなり,わが庵は 都のたつみ しかぞ住む,世をうぢ山と 人はいふなり,古今集,雑下,983,雑,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,わが庵は都のたつみしかぞ住む世をうぢ山と人はいふなり,わがいほはみやこのたつみしかぞすむよをうぢやまとひとはいふなり,"わが庵は都のたつみしかぞ住む世をうぢ山と人はいふなり
theme: 雑"
9,小野小町,をののこまち,花の色は 移りにけりな 徒に 我が身世にふる ながめせしまに,はなのいろは うつりにけりな いたづらに わがみよにふる ながめせしまに,花の色は 移りにけりな 徒に,我が身世にふる ながめせしまに,古今集,春下,113,春,春,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,花の色は移りにけりな徒に我が身世にふるながめせしまに,はなのいろはうつりにけりないたづらにわがみよにふるながめせしまに,"花の色は移りにけりな徒に我が身世にふるながめせしまに
theme: 春
season: 春"
10,蝉丸,せみまる,これや此の 行くも帰るも 別れては 知るも知らぬも 逢坂の関,これやこの ゆくもかへるも わかれては しるもしらぬも あふさかのせき,これや此の 行くも帰るも 別れては,知るも知らぬも 逢坂の関,後撰集,雑一,1089,雑,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,これや此の行くも帰るも別れては知るも知らぬも逢坂の関,これやこのゆくもかへるもわかれてはしるもしらぬもあふさかのせき,"これや此の行くも帰るも別れては知るも知らぬも逢坂の関
theme: 雑"
11,参議篁,さんぎたかむら,わたの原 八十島かけて 漕ぎ出でぬと 人にはつげよ あまの釣舟,わたのはら やそしまかけて こぎいでぬと ひとにはつげよ あまのつりぶね,わたの原 八十島かけて 漕ぎ出でぬと,人にはつげよ あまの釣舟,古今集,羇旅,407,羇旅,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,わたの原八十島かけて漕ぎ出でぬと人にはつげよあまの釣舟,わたのはらやそしまかけてこぎいでぬとひとにはつげよあまのつりぶね,"わたの原八十島かけて漕ぎ出でぬと人にはつげよあまの釣舟
theme: 羇旅"
12,僧正遍昭,そうじやうへんぜう,天つ風 雲のかよひぢ 吹きとぢよ をとめの姿 しばし留めむ,あまつかぜ くものかよひぢ ふきとぢよ をとめのすがた しばしとどめむ,天つ風 雲のかよひぢ 吹きとぢよ,をとめの姿 しばし留めむ,古今集,雑上,872,雑,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,天つ風雲のかよひぢ吹きとぢよをとめの姿しばし留めむ,あまつかぜくものかよひぢふきとぢよをとめのすがたしばしとどめむ,"天つ風雲のかよひぢ吹きとぢよをとめの姿しばし留めむ
theme: 雑"
13,陽成院,やうぜいゐん,筑波嶺の 峯より落つる みなの川 戀ぞつもりて 淵となりぬる,つくばねの みねよりおつる みなのがは こひぞつもりて ふちとなりぬる,筑波嶺の 峯より落つる みなの川,戀ぞつもりて 淵となりぬる,後撰集,恋三,776,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,筑波嶺の峯より落つるみなの川戀ぞつもりて淵となりぬる,つくばねのみねよりおつるみなのがはこひぞつもりてふちとなりぬる,"筑波嶺の峯より落つるみなの川戀ぞつもりて淵となりぬる
theme: 恋"
14,河原左大臣,かはらのさだいじん,陸奥の しのぶもぢずり 誰故に みだれ初めにし 我ならなくに,みちのくの しのぶもぢずり たれゆゑに みだれそめにし われならなくに,陸奥の しのぶもぢずり 誰故に,みだれ初めにし 我ならなくに,古今集,恋四,724,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,陸奥のしのぶもぢずり誰故にみだれ初めにし我ならなくに,みちのくのしのぶもぢずりたれゆゑにみだれそめにしわれならなくに,"陸奥のしのぶもぢずり誰故にみだれ初めにし我ならなくに
theme: 恋"
15,光孝天皇,くわうかうてんわう,君がため 春の野に出でて 若菜つむ わが衣手に 雪は降りつつ,きみがため はるののにいでて わかなつむ わがころもでに ゆきはふりつつ,君がため 春の野に出でて 若菜つむ,わが衣手に 雪は降りつつ,古今集,春上,21,春,春,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,君がため春の野に出でて若菜つむわが衣手に雪は降りつつ,きみがためはるののにいでてわかなつむわがころもでにゆきはふりつつ,"君がため春の野に出でて若菜つむわが衣手に雪は降りつつ
theme: 春
season: 春"
16,中納言行平,ちゆうなごんゆきひら,立別れ いなばの山の 嶺におふる まつとし聞かば 今帰り来む,たちわかれ いなばのやまの みねにおふる まつとしきかば いまかへりこむ,立別れ いなばの山の 嶺におふる,まつとし聞かば 今帰り来む,古今集,離別,365,離別,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,立別れいなばの山の嶺におふるまつとし聞かば今帰り来む,たちわかれいなばのやまのみねにおふるまつとしきかばいまかへりこむ,"立別れいなばの山の嶺におふるまつとし聞かば今帰り来む
theme: 離別"
17,在原業平朝臣,ありはらのなりひらあそん,ちはやぶる 神代も聞かず 龍田川 から紅に 水くくるとは,ちはやぶる かみよもきかず たつたがは からくれなゐに みづくくるとは,ちはやぶる 神代も聞かず 龍田川,から紅に 水くくるとは,古今集,秋下,294,秋,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,ちはやぶる神代も聞かず龍田川から紅に水くくるとは,ちはやぶるかみよもきかずたつたがはからくれなゐにみづくくるとは,"ちはやぶる神代も聞かず龍田川から紅に水くくるとは
theme: 秋
season: 秋"
18,藤原敏行朝臣,ふぢはらのとしゆきあそん,住の江の 岸に寄る浪 よるさへや 夢の通ひ路 人目よくらむ,すみのえの きしによるなみ よるさへや ゆめのかよひぢ ひとめよくらむ,住の江の 岸に寄る浪 よるさへや,夢の通ひ路 人目よくらむ,古今集,恋二,559,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,住の江の岸に寄る浪よるさへや夢の通ひ路人目よくらむ,すみのえのきしによるなみよるさへやゆめのかよひぢひとめよくらむ,"住の江の岸に寄る浪よるさへや夢の通ひ路人目よくらむ
theme: 恋"
19,伊勢,いせ,難波潟 短き葦の ふしのまも あはで此の世を すぐしてよとや,なにはがた みじかきあしの ふしのまも あはでこのよを すぐしてよとや,難波潟 短き葦の ふしのまも,あはで此の世を すぐしてよとや,新古今集,恋一,1049,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,難波潟短き葦のふしのまもあはで此の世をすぐしてよとや,なにはがたみじかきあしのふしのまもあはでこのよをすぐしてよとや,"難波潟短き葦のふしのまもあはで此の世をすぐしてよとや
theme: 恋"
20,元良親王,もとよししんわう,侘びぬれば 今はた同じ 難波なる 身をつくしても 逢はむとぞ思ふ,わびぬれば いまはたおなじ なにはなる みをつくしても あはむとぞおもふ,侘びぬれば 今はた同じ 難波なる,身をつくしても 逢はむとぞ思ふ,後撰集,恋五,961,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,侘びぬれば今はた同じ難波なる身をつくしても逢はむとぞ思ふ,わびぬればいまはたおなじなにはなるみをつくしてもあはむとぞおもふ,"侘びぬれば今はた同じ難波なる身をつくしても逢はむとぞ思ふ
theme: 恋"
21,素性法師,そせいほふし,今来むと いひしばかりに 長月の 有明の月を 待ち出でつるかな,いまこむと いひしばかりに ながつきの ありあけのつきを まちいでつるかな,今来むと いひしばかりに 長月の,有明の月を 待ち出でつるかな,古今集,恋四,691,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,今来むといひしばかりに長月の有明の月を待ち出でつるかな,いまこむといひしばかりにながつきのありあけのつきをまちいでつるかな,"今来むといひしばかりに長月の有明の月を待ち出でつるかな
theme: 恋"
22,文屋康秀,ふんやのやすひで,吹くからに 秋の草木の しをるれば むべ山風を あらしといふらむ,ふくからに あきのくさきの しをるれば むべやまかぜを あらしといふらむ,吹くからに 秋の草木の しをるれば,むべ山風を あらしといふらむ,古今集,秋下,249,秋,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,吹くからに秋の草木のしをるればむべ山風をあらしといふらむ,ふくからにあきのくさきのしをるればむべやまかぜをあらしといふらむ,"吹くからに秋の草木のしをるればむべ山風をあらしといふらむ
theme: 秋
season: 秋"
23,大江千里,おほえのちさと,月見れば 千々に物こそ 悲しけれ わが身ひとつの 秋にはあらねど,つきみれば ちゞにものこそ かなしけれ わがみひとつの あきにはあらねど,月見れば 千々に物こそ 悲しけれ,わが身ひとつの 秋にはあらねど,古今集,秋上,193,秋,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,月見れば千々に物こそ悲しけれわが身ひとつの秋にはあらねど,つきみればちゞにものこそかなしけれわがみひとつのあきにはあらねど,"月見れば千々に物こそ悲しけれわが身ひとつの秋にはあらねど
theme: 秋
season: 秋"
24,菅家,かんけ,此の度は 幣もとりあへず 手向山 紅葉の錦 神のまにまに,このたびは ぬさもとりあへず たむけやま もみぢのにしき かみのまにまに,此の度は 幣もとりあへず 手向山,紅葉の錦 神のまにまに,古今集,羇旅,420,羇旅,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,此の度は幣もとりあへず手向山紅葉の錦神のまにまに,このたびはぬさもとりあへずたむけやまもみぢのにしきかみのまにまに,"此の度は幣もとりあへず手向山紅葉の錦神のまにまに
theme: 羇旅"
25,三条右大臣,さんでうのうだいじん,名にしおはば 逢坂山の さねかづら 人にしられで くるよしもがな,なにしおはば あふさかやまの さねかづら ひとにしられで くるよしもがな,名にしおはば 逢坂山の さねかづら,人にしられで くるよしもがな,後撰集,恋三,701,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,名にしおはば逢坂山のさねかづら人にしられでくるよしもがな,なにしおはばあふさかやまのさねかづらひとにしられでくるよしもがな,"名にしおはば逢坂山のさねかづら人にしられでくるよしもがな
theme: 恋"
26,貞信公,ていしんこう,小倉山 峯のもみぢ葉 心あらば 今ひとたびの みゆき待たなむ,をぐらやま みねのもみぢば こゝろあらば いまひとたびの みゆきまたなむ,小倉山 峯のもみぢ葉 心あらば,今ひとたびの みゆき待たなむ,拾遺集,雑秋,1128,秋;雑,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,小倉山峯のもみぢ葉心あらば今ひとたびのみゆき待たなむ,をぐらやまみねのもみぢばこゝろあらばいまひとたびのみゆきまたなむ,"小倉山峯のもみぢ葉心あらば今ひとたびのみゆき待たなむ
theme: 秋;雑
season: 秋"
27,中納言兼輔,ちゆうなごんかねすけ,みかの原 わきて流るる 泉川 いつみきとてか 戀しかるらむ,みかのはら わきてながるる いづみがは いつみきとてか こひしかるらむ,みかの原 わきて流るる 泉川,いつみきとてか 戀しかるらむ,新古今集,恋一,996,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,みかの原わきて流るる泉川いつみきとてか戀しかるらむ,みかのはらわきてながるるいづみがはいつみきとてかこひしかるらむ,"みかの原わきて流るる泉川いつみきとてか戀しかるらむ
theme: 恋"
28,源宗行朝臣,みなもとのむねゆきあそん,山里は 冬ぞ寂しさ まさりける 人目も草も かれぬと思へば,やまざとは ふゆぞさびしさ まさりける ひとめもくさも かれぬとおもへば,山里は 冬ぞ寂しさ まさりける,人目も草も かれぬと思へば,古今集,冬,315,冬,冬,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,山里は冬ぞ寂しさまさりける人目も草もかれぬと思へば,やまざとはふゆぞさびしさまさりけるひとめもくさもかれぬとおもへば,"山里は冬ぞ寂しさまさりける人目も草もかれぬと思へば
theme: 冬
season: 冬"
29,凡河内躬恒,おほしかふちのみつね,心あてに 折らばや折らむ 初霜の 置きまどはせる 白菊の花,こゝろあてに をらばやをらむ はつしもの おきまどはせる しらぎくのはな,心あてに 折らばや折らむ 初霜の,置きまどはせる 白菊の花,古今集,秋下,277,秋,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,心あてに折らばや折らむ初霜の置きまどはせる白菊の花,こゝろあてにをらばやをらむはつしものおきまどはせるしらぎくのはな,"心あてに折らばや折らむ初霜の置きまどはせる白菊の花
theme: 秋
season: 秋"
30,壬生忠岑,みぶのただみね,有明の つれなく見えし 別れより 暁ばかり 憂きものはなし,ありあけの つれなくみえし わかれより あかつきばかり うきものはなし,有明の つれなく見えし 別れより,暁ばかり 憂きものはなし,古今集,恋三,625,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,有明のつれなく見えし別れより暁ばかり憂きものはなし,ありあけのつれなくみえしわかれよりあかつきばかりうきものはなし,"有明のつれなく見えし別れより暁ばかり憂きものはなし
theme: 恋"
31,坂上是則,さかのうへのこれのり,朝ぼらけ 有明の月と 見るまでに 吉野の里に 降れる白雪,あさぼらけ ありあけのつきと みるまでに よしののさとに ふれるしらゆき,朝ぼらけ 有明の月と 見るまでに,吉野の里に 降れる白雪,古今集,冬,332,冬,冬,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,朝ぼらけ有明の月と見るまでに吉野の里に降れる白雪,あさぼらけありあけのつきとみるまでによしののさとにふれるしらゆき,"朝ぼらけ有明の月と見るまでに吉野の里に降れる白雪
theme: 冬
season: 冬"
32,春道列樹,はるみちのつらき,山がはに 風のかけたる しがらみは 流れもあへぬ 紅葉なりけり,やまがはに かぜのかけたる しがらみは ながれもあへぬ もみぢなりけり,山がはに 風のかけたる しがらみは,流れもあへぬ 紅葉なりけり,古今集,秋下,303,秋,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,山がはに風のかけたるしがらみは流れもあへぬ紅葉なりけり,やまがはにかぜのかけたるしがらみはながれもあへぬもみぢなりけり,"山がはに風のかけたるしがらみは流れもあへぬ紅葉なりけり
theme: 秋
season: 秋"
33,紀友則,きのとものり,久方の 光のどけき 春の日に しづごころなく 花の散るらむ,ひさかたの ひかりのどけき はるのひに しづごころなく はなのちるらむ,久方の 光のどけき 春の日に,しづごころなく 花の散るらむ,古今集,春下,84,春,春,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,久方の光のどけき春の日にしづごころなく花の散るらむ,ひさかたのひかりのどけきはるのひにしづごころなくはなのちるらむ,"久方の光のどけき春の日にしづごころなく花の散るらむ
theme: 春
season: 春"
