id,poet_jp,poet_kana,waka_original,waka_kana,kami_no_ku,shimo_no_ku,source_anthology,source_book,source_number,theme,season,notes,normalized_original,normalized_kana,embedding_text
67,周防内侍,すはうのないし,春の夜の 夢ばかりなる 手枕に かひなく立たむ 名こそ惜しけれ,はるのよの ゆめばかりなる たまくらに かひなくたたむ なこそをしけれ,春の夜の 夢ばかりなる 手枕に,かひなく立たむ 名こそ惜しけれ,千載集,雑上,961,雑,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,春の夜の夢ばかりなる手枕にかひなく立たむ名こそ惜しけれ,はるのよのゆめばかりなるたまくらにかひなくたたむなこそをしけれ,"春の夜の夢ばかりなる手枕にかひなく立たむ名こそ惜しけれ
theme: 雑"
68,三条院,さんでうゐん,心にも あらで憂世に ながらへば 戀しかるべき 夜半の月かな,こゝろにも あらでうきよに ながらへば こひしかるべき よはのつきかな,心にも あらで憂世に ながらへば,戀しかるべき 夜半の月かな,後拾遺集,雑一,861,雑,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,心にもあらで憂世にながらへば戀しかるべき夜半の月かな,こゝろにもあらでうきよにながらへばこひしかるべきよはのつきかな,"心にもあらで憂世にながらへば戀しかるべき夜半の月かな
theme: 雑"
69,能因法師,のういんほふし,嵐ふく 三室の山の もみぢ葉は 龍田の川の 錦なりけり,あらしふく みむろのやまの もみぢばは たつたのかはの にしきなりけり,嵐ふく 三室の山の もみぢ葉は,龍田の川の 錦なりけり,後拾遺集,秋下,366,秋,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,嵐ふく三室の山のもみぢ葉は龍田の川の錦なりけり,あらしふくみむろのやまのもみぢばはたつたのかはのにしきなりけり,"嵐ふく三室の山のもみぢ葉は龍田の川の錦なりけり
theme: 秋
season: 秋"
70,良暹法師,りやうせんほふし,寂しさに 宿を立ち出でて 眺むれば いづくも同じ 秋の夕暮,さびしさに やどをたちいでて ながむれば いづくもおなじ あきのゆふぐれ,寂しさに 宿を立ち出でて 眺むれば,いづくも同じ 秋の夕暮,後拾遺集,秋上,333,秋,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,寂しさに宿を立ち出でて眺むればいづくも同じ秋の夕暮,さびしさにやどをたちいでてながむればいづくもおなじあきのゆふぐれ,"寂しさに宿を立ち出でて眺むればいづくも同じ秋の夕暮
theme: 秋
season: 秋"
71,大納言経信,だいなごんつねのぶ,夕されば 門田の稲葉 おとづれて あしのまろやに 秋風ぞ吹く,ゆふされば かどたのいなば おとづれて あしのまろやに あきかぜぞふく,夕されば 門田の稲葉 おとづれて,あしのまろやに 秋風ぞ吹く,金葉集,秋,183,秋,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,夕されば門田の稲葉おとづれてあしのまろやに秋風ぞ吹く,ゆふさればかどたのいなばおとづれてあしのまろやにあきかぜぞふく,"夕されば門田の稲葉おとづれてあしのまろやに秋風ぞ吹く
theme: 秋
season: 秋"
72,祐子内親王家紀伊,ゆうしないしんわうけのきい,音に聞く 高師の濱の あだ浪は かけじや袖の ぬれもこそすれ,おとにきく たかしのはまの あだなみは かけじやそでの ぬれもこそすれ,音に聞く 高師の濱の あだ浪は,かけじや袖の ぬれもこそすれ,金葉集,恋下,501,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,音に聞く高師の濱のあだ浪はかけじや袖のぬれもこそすれ,おとにきくたかしのはまのあだなみはかけじやそでのぬれもこそすれ,"音に聞く高師の濱のあだ浪はかけじや袖のぬれもこそすれ
theme: 恋"
73,権中納言匡房,ごんちゆうなごんまさふさ,高砂の 尾の上の桜 咲きにけり 外山の霞 立たずもあらなむ,たかさごの をのへのさくら さきにけり とやまのかすみ たたずもあらなむ,高砂の 尾の上の桜 咲きにけり,外山の霞 立たずもあらなむ,後拾遺集,春上,120,春,春,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,高砂の尾の上の桜咲きにけり外山の霞立たずもあらなむ,たかさごのをのへのさくらさきにけりとやまのかすみたたずもあらなむ,"高砂の尾の上の桜咲きにけり外山の霞立たずもあらなむ
theme: 春
season: 春"
74,源俊頼朝臣,みなもとのとしよりあそん,うかりける 人を初瀬の 山おろし はげしかれとは 祈らぬものを,うかりける ひとをはつせの やまおろし はげしかれとは いのらぬものを,うかりける 人を初瀬の 山おろし,はげしかれとは 祈らぬものを,千載集,恋二,707,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,うかりける人を初瀬の山おろしはげしかれとは祈らぬものを,うかりけるひとをはつせのやまおろしはげしかれとはいのらぬものを,"うかりける人を初瀬の山おろしはげしかれとは祈らぬものを
theme: 恋"
75,藤原基俊,ふぢはらのもととし,契りおきし させもが露を 命にて あはれ今年の 秋も去ぬめり,ちぎりおきし させもがつゆを いのちにて あはれことしの あきもいぬめり,契りおきし させもが露を 命にて,あはれ今年の 秋も去ぬめり,千載集,雑上,1023,雑,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,契りおきしさせもが露を命にてあはれ今年の秋も去ぬめり,ちぎりおきしさせもがつゆをいのちにてあはれことしのあきもいぬめり,"契りおきしさせもが露を命にてあはれ今年の秋も去ぬめり
theme: 雑"
76,法性寺入道前関白太政大臣,ほふしやうじにふだうさきのかんぱくだじやうだいじん,わたの原 漕ぎ出でて見れば 久方の 雲居にまがふ 沖つ白浪,わたのはら こぎいでてみれば ひさかたの くもゐにまがふ おきつしらなみ,わたの原 漕ぎ出でて見れば 久方の,雲居にまがふ 沖つ白浪,詞花集,雑下,380,雑,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,わたの原漕ぎ出でて見れば久方の雲居にまがふ沖つ白浪,わたのはらこぎいでてみればひさかたのくもゐにまがふおきつしらなみ,"わたの原漕ぎ出でて見れば久方の雲居にまがふ沖つ白浪
theme: 雑"
77,崇徳院,すとくゐん,瀬を早み 岩にせかるる 瀧川の われても末に 逢はむとぞ思ふ,せをはやみ いはにせかるる たきがはの われてもすゑに あはむとぞおもふ,瀬を早み 岩にせかるる 瀧川の,われても末に 逢はむとぞ思ふ,詞花集,恋上,228,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,瀬を早み岩にせかるる瀧川のわれても末に逢はむとぞ思ふ,せをはやみいはにせかるるたきがはのわれてもすゑにあはむとぞおもふ,"瀬を早み岩にせかるる瀧川のわれても末に逢はむとぞ思ふ
theme: 恋"
78,源兼昌,みなもとのかねまさ,淡路島 かよふ千鳥の 鳴く声に いくよ寝覚めぬ 須磨の関守,あはぢしま かよふちどりの なくこゑに いくよねざめぬ すまのせきもり,淡路島 かよふ千鳥の 鳴く声に,いくよ寝覚めぬ 須磨の関守,金葉集,冬,288,冬,冬,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,淡路島かよふ千鳥の鳴く声にいくよ寝覚めぬ須磨の関守,あはぢしまかよふちどりのなくこゑにいくよねざめぬすまのせきもり,"淡路島かよふ千鳥の鳴く声にいくよ寝覚めぬ須磨の関守
theme: 冬
season: 冬"
79,左京大夫顕輔,さきやうだいぶあきすけ,秋風に たなびく雲の 絶間より もれ出づる月の 影のさやけさ,あきかぜに たなびくくもの たえまより もれいづるつきの かげのさやけさ,秋風に たなびく雲の 絶間より,もれ出づる月の 影のさやけさ,新古今集,秋上,413,秋,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,秋風にたなびく雲の絶間よりもれ出づる月の影のさやけさ,あきかぜにたなびくくものたえまよりもれいづるつきのかげのさやけさ,"秋風にたなびく雲の絶間よりもれ出づる月の影のさやけさ
theme: 秋
season: 秋"
80,待賢門院堀河,たいけんもんゐんのほりかわ,ながからむ 心も知らず 黒髪の みだれて今朝は ものをこそ思へ,ながからむ こころもしらず くろかみの みだれてけさは ものをこそおもへ,ながからむ 心も知らず 黒髪の,みだれて今朝は ものをこそ思へ,千載集,恋三,801,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,ながからむ心も知らず黒髪のみだれて今朝はものをこそ思へ,ながからむこころもしらずくろかみのみだれてけさはものをこそおもへ,"ながからむ心も知らず黒髪のみだれて今朝はものをこそ思へ
theme: 恋"
81,後徳大寺左大臣,ごとくだいじのさだいじん,ほととぎす 鳴きつる方を 眺むれば ただ有明の 月ぞ残れる,ほととぎす なきつるかたを ながむれば ただありあけの つきぞのこれる,ほととぎす 鳴きつる方を 眺むれば,ただ有明の 月ぞ残れる,千載集,夏,161,夏,夏,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,ほととぎす鳴きつる方を眺むればただ有明の月ぞ残れる,ほととぎすなきつるかたをながむればただありあけのつきぞのこれる,"ほととぎす鳴きつる方を眺むればただ有明の月ぞ残れる
theme: 夏
season: 夏"
82,道因法師,だういんほふし,思ひわび さても命は あるものを 憂きに堪へぬは 涙なりけり,おもひわび さてもいのちは あるものを うきにたへぬは なみだなりけり,思ひわび さても命は あるものを,憂きに堪へぬは 涙なりけり,千載集,恋三,817,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,思ひわびさても命はあるものを憂きに堪へぬは涙なりけり,おもひわびさてもいのちはあるものをうきにたへぬはなみだなりけり,"思ひわびさても命はあるものを憂きに堪へぬは涙なりけり
theme: 恋"
83,皇太后宮大夫俊成,くわうたいごうぐうのたいぶとしなり,世の中よ 道こそなけれ 思ひ入る 山の奥にも 鹿ぞなくなる,よのなかよ みちこそなけれ おもひいる やまのおくにも しかぞなくなる,世の中よ 道こそなけれ 思ひ入る,山の奥にも 鹿ぞなくなる,千載集,雑中,1148,雑,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,世の中よ道こそなけれ思ひ入る山の奥にも鹿ぞなくなる,よのなかよみちこそなけれおもひいるやまのおくにもしかぞなくなる,"世の中よ道こそなけれ思ひ入る山の奥にも鹿ぞなくなる
theme: 雑"
84,藤原清輔朝臣,ふぢはらのきよすけあそん,ながらへば また此の頃や しのばれむ 憂しと見し世ぞ 今は戀しき,ながらへば またこのごろや しのばれむ うしとみしよぞ いまはこひしき,ながらへば また此の頃や しのばれむ,憂しと見し世ぞ 今は戀しき,新古今集,雑下,1843,雑,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,ながらへばまた此の頃やしのばれむ憂しと見し世ぞ今は戀しき,ながらへばまたこのごろやしのばれむうしとみしよぞいまはこひしき,"ながらへばまた此の頃やしのばれむ憂しと見し世ぞ今は戀しき
theme: 雑"
85,俊恵法師,しゆんゑほふし,夜もすがら もの思ふ頃は 明けやらで ねやのひまさへ つれなかりけり,よもすがら ものおもふころは あけやらで ねやのひまさへ つれなかりけり,夜もすがら もの思ふ頃は 明けやらで,ねやのひまさへ つれなかりけり,千載集,恋二,765,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,夜もすがらもの思ふ頃は明けやらでねやのひまさへつれなかりけり,よもすがらものおもふころはあけやらでねやのひまさへつれなかりけり,"夜もすがらもの思ふ頃は明けやらでねやのひまさへつれなかりけり
theme: 恋"
86,西行法師,さいぎやうほふし,嘆けとて 月やはものを 思はする かこち顔なる わが涙かな,なげけとて つきやはものを おもはする かこちがほなる わがなみだかな,嘆けとて 月やはものを 思はする,かこち顔なる わが涙かな,千載集,恋五,926,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,嘆けとて月やはものを思はするかこち顔なるわが涙かな,なげけとてつきやはものをおもはするかこちがほなるわがなみだかな,"嘆けとて月やはものを思はするかこち顔なるわが涙かな
theme: 恋"
87,寂蓮法師,じやくれんほふし,村雨の 露もまだひぬ 槙の葉に 霧立ちのぼる 秋の夕暮,むらさめの つゆもまだひぬ まきのはに きりたちのぼる あきのゆふぐれ,村雨の 露もまだひぬ 槙の葉に,霧立ちのぼる 秋の夕暮,新古今集,秋下,491,秋,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,村雨の露もまだひぬ槙の葉に霧立ちのぼる秋の夕暮,むらさめのつゆもまだひぬまきのはにきりたちのぼるあきのゆふぐれ,"村雨の露もまだひぬ槙の葉に霧立ちのぼる秋の夕暮
theme: 秋
season: 秋"
88,皇嘉門院別当,くわうかもんゐんのべつたう,難波江の あしのかりねの 一夜ゆゑ みをつくしてや 戀ひわたるべき,なにはえの あしのかりねの ひとよゆゑ みをつくしてや こひわたるべき,難波江の あしのかりねの 一夜ゆゑ,みをつくしてや 戀ひわたるべき,千載集,恋三,806,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,難波江のあしのかりねの一夜ゆゑみをつくしてや戀ひわたるべき,なにはえのあしのかりねのひとよゆゑみをつくしてやこひわたるべき,"難波江のあしのかりねの一夜ゆゑみをつくしてや戀ひわたるべき
theme: 恋"
89,式子内親王,しきしないしんわう,玉の緒よ たえなば絶えね ながらへば 忍ぶることの 弱りもぞする,たまのをよ たえなばたえね ながらへば しのぶることの よはりもぞする,玉の緒よ たえなば絶えね ながらへば,忍ぶることの 弱りもぞする,新古今集,恋一,1034,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,玉の緒よたえなば絶えねながらへば忍ぶることの弱りもぞする,たまのをよたえなばたえねながらへばしのぶることのよはりもぞする,"玉の緒よたえなば絶えねながらへば忍ぶることの弱りもぞする
theme: 恋"
90,殷富門院大輔,いんぶもんゐんのたいふ,見せばやな 雄島のあまの 袖だにも 濡れにぞ濡れし 色はかはらず,みせばやな をじまのあまの そでだにも ぬれにぞぬれし いろはかはらず,見せばやな 雄島のあまの 袖だにも,濡れにぞ濡れし 色はかはらず,千載集,恋四,884,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,見せばやな雄島のあまの袖だにも濡れにぞ濡れし色はかはらず,みせばやなをじまのあまのそでだにもぬれにぞぬれしいろはかはらず,"見せばやな雄島のあまの袖だにも濡れにぞ濡れし色はかはらず
theme: 恋"
91,後京極摂政前太政大臣,ごきやうごくせふしやうさきのだじやうだいじん,きりぎりす なくや霜夜の さむしろに 衣かたしき 獨りかも寝む,きりぎりす なくやしもよの さむしろに ころもかたしき ひとりかもねむ,きりぎりす なくや霜夜の さむしろに,衣かたしき 獨りかも寝む,新古今集,秋下,518,秋,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,きりぎりすなくや霜夜のさむしろに衣かたしき獨りかも寝む,きりぎりすなくやしもよのさむしろにころもかたしきひとりかもねむ,"きりぎりすなくや霜夜のさむしろに衣かたしき獨りかも寝む
theme: 秋
season: 秋"
92,二条院讃岐,にでうゐんのさぬき,わが袖は 汐干に見えぬ 沖の石の 人こそ知らね 乾く間もなし,わがそでは しほひにみえぬ おきのいしの ひとこそしらね かわくまもなし,わが袖は 汐干に見えぬ 沖の石の,人こそ知らね 乾く間もなし,千載集,恋二,759,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,わが袖は汐干に見えぬ沖の石の人こそ知らね乾く間もなし,わがそではしほひにみえぬおきのいしのひとこそしらねかわくまもなし,"わが袖は汐干に見えぬ沖の石の人こそ知らね乾く間もなし
theme: 恋"
93,鎌倉右大臣,かまくらのうだいじん,世の中は 常にもがもな 渚こぐ 海士の小舟の 綱手かなしも,よのなかは つねにもがもな なぎさこぐ あまのをぶねの つなでかなしも,世の中は 常にもがもな 渚こぐ,海士の小舟の 綱手かなしも,新勅撰集,羇旅,525,羇旅,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,世の中は常にもがもな渚こぐ海士の小舟の綱手かなしも,よのなかはつねにもがもななぎさこぐあまのをぶねのつなでかなしも,"世の中は常にもがもな渚こぐ海士の小舟の綱手かなしも
theme: 羇旅"
94,参議雅経,さんぎまさつね,みよし野の 山の秋風 小夜更けて 故郷寒く 衣うつなり,みよしのの やまのあきかぜ さよふけて ふるさとさむく ころもうつなり,みよし野の 山の秋風 小夜更けて,故郷寒く 衣うつなり,新古今集,秋下,483,秋,秋,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,みよし野の山の秋風小夜更けて故郷寒く衣うつなり,みよしののやまのあきかぜさよふけてふるさとさむくころもうつなり,"みよし野の山の秋風小夜更けて故郷寒く衣うつなり
theme: 秋
season: 秋"
95,前大僧正慈圓,さきのだいそうじやうじゑん,おほけなく うき世の民に おほふかな 我が立つ杣に 墨染の袖,おほけなく うきよのたみに おほふかな わがたつそまに すみぞめのそで,おほけなく うき世の民に おほふかな,我が立つ杣に 墨染の袖,千載集,雑中,1134,雑,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,おほけなくうき世の民におほふかな我が立つ杣に墨染の袖,おほけなくうきよのたみにおほふかなわがたつそまにすみぞめのそで,"おほけなくうき世の民におほふかな我が立つ杣に墨染の袖
theme: 雑"
96,入道前太政大臣,にふだうさきのだじやうだいじん,花さそふ あらしの庭の 雪ならで ふりゆくものは 我が身なりけり,はなさそふ あらしのにはの ゆきならで ふりゆくものは わがみなりけり,花さそふ あらしの庭の 雪ならで,ふりゆくものは 我が身なりけり,新勅撰集,雑一,1052,雑,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,花さそふあらしの庭の雪ならでふりゆくものは我が身なりけり,はなさそふあらしのにはのゆきならでふりゆくものはわがみなりけり,"花さそふあらしの庭の雪ならでふりゆくものは我が身なりけり
theme: 雑"
97,権中納言定家,ごんちゆうなごんさだいへ,来ぬ人を 松帆の浦の 夕なぎに 焼くや藻塩の 身もこがれつつ,こぬひとを まつほのうらの ゆふなぎに やくやもしほの みもこがれつつ,来ぬ人を 松帆の浦の 夕なぎに,焼くや藻塩の 身もこがれつつ,新勅撰集,恋三,849,恋,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,来ぬ人を松帆の浦の夕なぎに焼くや藻塩の身もこがれつつ,こぬひとをまつほのうらのゆふなぎにやくやもしほのみもこがれつつ,"来ぬ人を松帆の浦の夕なぎに焼くや藻塩の身もこがれつつ
theme: 恋"
98,従二位家隆,じゆにゐいへたか,風そよぐ 楢の小川の 夕ぐれは みそぎぞ夏の しるしなりける,かぜそよぐ ならのをがはの ゆふぐれは みそぎぞなつの しるしなりける,風そよぐ 楢の小川の 夕ぐれは,みそぎぞ夏の しるしなりける,新勅撰集,夏,192,夏,夏,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,風そよぐ楢の小川の夕ぐれはみそぎぞ夏のしるしなりける,かぜそよぐならのをがはのゆふぐれはみそぎぞなつのしるしなりける,"風そよぐ楢の小川の夕ぐれはみそぎぞ夏のしるしなりける
theme: 夏
season: 夏"
99,後鳥羽院,ごとばのゐん,人もをし 人もうらめし あぢきなく 世を思ふ故に もの思ふ身は,ひともをし ひともうらめし あぢきなく よをおもふゆゑに ものおもふみは,人もをし 人もうらめし あぢきなく,世を思ふ故に もの思ふ身は,続後撰集,雑中,1199,雑,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,人もをし人もうらめしあぢきなく世を思ふ故にもの思ふ身は,ひともをしひともうらめしあぢきなくよをおもふゆゑにものおもふみは,"人もをし人もうらめしあぢきなく世を思ふ故にもの思ふ身は
theme: 雑"
100,順徳院,じゆんとくゐん,百敷や 古き軒端の しのぶにも なほあまりある 昔なりけり,ももしきや ふるきのきばの しのぶにも なほあまりある むかしなりけり,百敷や 古き軒端の しのぶにも,なほあまりある 昔なりけり,続後撰集,雑下,1202,雑,,Initial candidate imported from Japanese Wikisource oldid 240235; CC BY-SA 3.0; verify against scholarly editions and source anthologies.,百敷や古き軒端のしのぶにもなほあまりある昔なりけり,ももしきやふるきのきばのしのぶにもなほあまりあるむかしなりけり,"百敷や古き軒端のしのぶにもなほあまりある昔なりけり
theme: 雑"
